chromosome,neutral_rate,observed_rate,RS
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,1.99,1.82
ACmerged_contig_10026,3.85,1.53,2.32
ACmerged_contig_10026,3.85,2.02,1.83
ACmerged_contig_10026,3.85,1.54,2.31
ACmerged_contig_10026,3.85,0.959,2.891
ACmerged_contig_10026,3.85,2.95,0.9
ACmerged_contig_10026,3.85,2.87,0.98
ACmerged_contig_10026,3.85,2.03,1.82
ACmerged_contig_10026,3.85,2.98,0.87
ACmerged_contig_10026,3.85,-0.922,4.772
ACmerged_contig_10026,3.85,2.78,1.07
ACmerged_contig_10026,3.85,1.98,1.87
ACmerged_contig_10026,3.85,2.65,1.2
ACmerged_contig_10026,3.85,-6.42,10.27
ACmerged_contig_10026,3.85,-3.07,6.92
ACmerged_contig_10026,3.85,2.78,1.07
ACmerged_contig_10026,3.85,0.073,3.777
ACmerged_contig_10026,3.8,1.82,1.98
ACmerged_contig_10026,3.8,0.197,3.603
ACmerged_contig_10026,3.8,2.57,1.23
ACmerged_contig_10026,3.76,2.53,1.23
ACmerged_contig_10026,3.76,2.01,1.75
ACmerged_contig_10026,3.76,0.395,3.365
ACmerged_contig_10026,3.76,1.06,2.7
ACmerged_contig_10026,3.76,1.39,2.37
ACmerged_contig_10026,3.76,-2,5.76
ACmerged_contig_10026,3.76,2.89,0.87
ACmerged_contig_10026,3.76,-0.237,3.997
ACmerged_contig_10026,3.76,2.71,1.05
ACmerged_contig_10026,3.76,2.85,0.91
ACmerged_contig_10026,3.76,1.59,2.17
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.76,0.96,2.8
ACmerged_contig_10026,3.81,2.64,1.17
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,0.958,2.852
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.89,0.92
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,-0.849,4.659
ACmerged_contig_10026,3.81,-1,4.81
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,1.11,2.7
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,2.43,1.38
ACmerged_contig_10026,3.81,1.98,1.83
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,-6.09,9.9
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.59,1.22
ACmerged_contig_10026,3.81,2.82,0.99
ACmerged_contig_10026,3.81,1.6,2.21
ACmerged_contig_10026,3.81,2.72,1.09
ACmerged_contig_10026,3.81,2.58,1.23
ACmerged_contig_10026,3.81,-1.55,5.36
ACmerged_contig_10026,3.81,1.36,2.45
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,-2.87,6.68
ACmerged_contig_10026,3.81,2.93,0.88
ACmerged_contig_10026,3.81,-7.32,11.13
ACmerged_contig_10026,3.81,-0.349,4.159
ACmerged_contig_10026,3.81,-6.24,10.05
ACmerged_contig_10026,3.81,1.03,2.78
ACmerged_contig_10026,3.81,2.58,1.23
ACmerged_contig_10026,3.81,0.727,3.083
ACmerged_contig_10026,3.81,2.9,0.91
ACmerged_contig_10026,3.81,2.76,1.05
ACmerged_contig_10026,3.81,2.58,1.23
ACmerged_contig_10026,3.81,-0.226,4.036
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,1.26,2.55
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,2.04,1.77
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.66,1.15
ACmerged_contig_10026,3.81,0.46,3.35
ACmerged_contig_10026,3.81,1.89,1.92
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.77,2.71,1.06
ACmerged_contig_10026,3.77,1.6,2.17
ACmerged_contig_10026,3.77,0.97,2.8
ACmerged_contig_10026,3.77,1.86,1.91
ACmerged_contig_10026,3.77,2.77,1
ACmerged_contig_10026,3.77,2.69,1.08
ACmerged_contig_10026,3.77,1.96,1.81
ACmerged_contig_10026,3.77,2.89,0.88
ACmerged_contig_10026,3.77,1.25,2.52
ACmerged_contig_10026,3.77,-0.0552,3.8252
ACmerged_contig_10026,3.77,2.02,1.75
ACmerged_contig_10026,3.77,-0.49,4.26
ACmerged_contig_10026,3.77,1.85,1.92
ACmerged_contig_10026,3.77,-0.438,4.208
ACmerged_contig_10026,3.77,1.31,2.46
ACmerged_contig_10026,3.77,1.69,2.08
ACmerged_contig_10026,3.77,2.87,0.9
ACmerged_contig_10026,3.77,-3.97,7.74
ACmerged_contig_10026,3.77,2.56,1.21
ACmerged_contig_10026,3.77,2.91,0.86
ACmerged_contig_10026,3.76,2.88,0.88
ACmerged_contig_10026,3.76,2.68,1.08
ACmerged_contig_10026,3.72,1.03,2.69
ACmerged_contig_10026,3.76,1.99,1.77
ACmerged_contig_10026,3.76,2.67,1.09
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.76,2.89,0.87
ACmerged_contig_10026,3.76,2.85,0.91
ACmerged_contig_10026,3.76,2.67,1.09
ACmerged_contig_10026,3.76,2.68,1.08
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.76,-5.34,9.1
ACmerged_contig_10026,3.76,1.93,1.83
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.76,2.69,1.07
ACmerged_contig_10026,3.73,2.65,1.08
ACmerged_contig_10026,3.73,2.66,1.07
ACmerged_contig_10026,3.76,2.58,1.18
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.76,2.86,0.9
ACmerged_contig_10026,3.72,2.65,1.07
ACmerged_contig_10026,3.72,1.94,1.78
ACmerged_contig_10026,3.72,1.48,2.24
ACmerged_contig_10026,3.72,0.931,2.789
ACmerged_contig_10026,3.72,2.8,0.92
ACmerged_contig_10026,3.72,2.84,0.88
ACmerged_contig_10026,3.72,-1.66,5.38
ACmerged_contig_10026,3.72,1.52,2.2
ACmerged_contig_10026,3.72,2.52,1.2
ACmerged_contig_10026,3.72,2.67,1.05
ACmerged_contig_10026,3.72,2.82,0.9
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.69,2.49,1.2
ACmerged_contig_10026,3.69,1.86,1.83
ACmerged_contig_10026,3.69,2.81,0.88
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.69,1.23,2.46
ACmerged_contig_10026,3.69,-1.42,5.11
ACmerged_contig_10026,3.69,2.62,1.07
ACmerged_contig_10026,3.7,1.87,1.83
ACmerged_contig_10026,3.7,-4.22,7.92
ACmerged_contig_10026,3.7,1.21,2.49
ACmerged_contig_10026,3.7,2.53,1.17
ACmerged_contig_10026,3.7,2.83,0.87
ACmerged_contig_10026,3.7,1.95,1.75
ACmerged_contig_10026,3.7,2.83,0.87
ACmerged_contig_10026,3.7,-1.21,4.91
ACmerged_contig_10026,3.7,2.47,1.23
ACmerged_contig_10026,3.7,0.827,2.873
ACmerged_contig_10026,3.7,0.931,2.769
ACmerged_contig_10026,3.68,2.8,0.88
ACmerged_contig_10026,3.68,-1.27,4.95
ACmerged_contig_10026,3.68,-1.81,5.49
ACmerged_contig_10026,3.68,2.61,1.07
ACmerged_contig_10026,3.68,0.0505,3.6295
ACmerged_contig_10026,3.68,-0.746,4.426
ACmerged_contig_10026,3.68,2.78,0.9
ACmerged_contig_10026,3.68,0.668,3.012
ACmerged_contig_10026,3.68,2.53,1.15
ACmerged_contig_10026,3.68,2.73,0.95
ACmerged_contig_10026,3.68,2.63,1.05
ACmerged_contig_10026,3.68,2.51,1.17
ACmerged_contig_10026,3.68,2.59,1.09
ACmerged_contig_10026,3.68,-0.0418,3.7218
ACmerged_contig_10026,3.68,-2.05,5.73
ACmerged_contig_10026,3.68,2.78,0.9
ACmerged_contig_10026,3.68,-7.36,11.04
ACmerged_contig_10026,3.68,-0.297,3.977
ACmerged_contig_10026,3.68,0.341,3.339
ACmerged_contig_10026,3.68,2.51,1.17
ACmerged_contig_10026,3.68,0.668,3.012
ACmerged_contig_10026,3.68,0.944,2.736
ACmerged_contig_10026,3.68,0.311,3.369
ACmerged_contig_10026,3.68,1.9,1.78
ACmerged_contig_10026,3.68,0.26,3.42
ACmerged_contig_10026,3.74,0.0619,3.6781
ACmerged_contig_10026,3.74,2.86,0.88
ACmerged_contig_10026,3.74,1.03,2.71
ACmerged_contig_10026,3.74,2.65,1.09
ACmerged_contig_10026,3.74,2.67,1.07
ACmerged_contig_10026,3.74,2.65,1.09
ACmerged_contig_10026,3.74,0.182,3.558
ACmerged_contig_10026,3.74,2.53,1.21
ACmerged_contig_10026,3.74,2.51,1.23
ACmerged_contig_10026,3.74,0.246,3.494
ACmerged_contig_10026,3.74,-1.06,4.8
ACmerged_contig_10026,3.76,2.56,1.2
ACmerged_contig_10026,3.76,2.55,1.21
ACmerged_contig_10026,3.76,2.7,1.06
ACmerged_contig_10026,3.76,1.3,2.46
ACmerged_contig_10026,3.76,2.88,0.88
ACmerged_contig_10026,3.79,2.56,1.23
ACmerged_contig_10026,3.79,1.92,1.87
ACmerged_contig_10026,3.79,0.0588,3.7312
ACmerged_contig_10026,3.79,2.72,1.07
ACmerged_contig_10026,3.79,1.28,2.51
ACmerged_contig_10026,3.79,2.72,1.07
ACmerged_contig_10026,3.79,2.73,1.06
ACmerged_contig_10026,3.79,2.88,0.91
ACmerged_contig_10026,3.79,2.88,0.91
ACmerged_contig_10026,3.79,2.92,0.87
ACmerged_contig_10026,3.79,2.73,1.06
ACmerged_contig_10026,3.79,2.84,0.95
ACmerged_contig_10026,3.79,-1.44,5.23
ACmerged_contig_10026,3.79,-0.819,4.609
ACmerged_contig_10026,3.79,2.92,0.87
ACmerged_contig_10026,3.79,1.29,2.5
ACmerged_contig_10026,3.79,2.92,0.87
ACmerged_contig_10026,3.79,-0.172,3.962
ACmerged_contig_10026,3.79,2.89,0.9
ACmerged_contig_10026,3.79,2.71,1.08
ACmerged_contig_10026,3.79,2.58,1.21
ACmerged_contig_10026,3.79,2.92,0.87
ACmerged_contig_10026,3.79,2.84,0.95
ACmerged_contig_10026,3.79,2.5,1.29
ACmerged_contig_10026,3.79,2.73,1.06
ACmerged_contig_10026,3.79,1.29,2.5
ACmerged_contig_10026,3.79,2.9,0.89
ACmerged_contig_10026,3.79,2.92,0.87
ACmerged_contig_10026,3.79,1.59,2.2
ACmerged_contig_10026,3.79,-0.0251,3.8151
ACmerged_contig_10026,3.79,2.04,1.75
ACmerged_contig_10026,3.79,2.57,1.22
ACmerged_contig_10026,3.79,0.959,2.831
ACmerged_contig_10026,3.79,0.167,3.623
ACmerged_contig_10026,3.79,0.923,2.867
ACmerged_contig_10026,3.79,2.91,0.88
ACmerged_contig_10026,3.79,2.76,1.03
ACmerged_contig_10026,3.79,1.82,1.97
ACmerged_contig_10026,3.79,2.89,0.9
ACmerged_contig_10026,3.79,2.89,0.9
ACmerged_contig_10026,3.79,2.76,1.03
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,1.02,2.79
ACmerged_contig_10026,3.81,1.36,2.45
ACmerged_contig_10026,3.81,1.83,1.98
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.73,2.67,1.06
ACmerged_contig_10026,3.73,2.79,0.94
ACmerged_contig_10026,3.73,2.53,1.2
ACmerged_contig_10026,3.73,-0.786,4.516
ACmerged_contig_10026,3.73,2.66,1.07
ACmerged_contig_10026,3.73,1.57,2.16
ACmerged_contig_10026,3.73,-0.209,3.939
ACmerged_contig_10026,3.73,2.5,1.23
ACmerged_contig_10026,3.73,2.68,1.05
ACmerged_contig_10026,3.73,0.804,2.926
ACmerged_contig_10026,3.73,-7.47,11.2
ACmerged_contig_10026,3.73,-0.0229,3.7529
ACmerged_contig_10026,3.73,2.86,0.87
ACmerged_contig_10026,3.77,2.6,1.17
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,1.04,2.77
ACmerged_contig_10026,3.81,1.34,2.47
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,1.5,2.31
ACmerged_contig_10026,3.81,1.82,1.99
ACmerged_contig_10026,3.77,2.62,1.15
ACmerged_contig_10026,3.77,1.6,2.17
ACmerged_contig_10026,3.77,2.9,0.87
ACmerged_contig_10026,3.77,-0.0687,3.8387
ACmerged_contig_10026,3.77,2.69,1.08
ACmerged_contig_10026,3.77,-1.04,4.81
ACmerged_contig_10026,3.77,1.57,2.2
ACmerged_contig_10026,3.77,2.83,0.94
ACmerged_contig_10026,3.77,2.71,1.06
ACmerged_contig_10026,3.77,2.84,0.93
ACmerged_contig_10026,3.77,1.04,2.73
ACmerged_contig_10026,3.77,2.54,1.23
ACmerged_contig_10026,3.77,2.72,1.05
ACmerged_contig_10026,3.77,2.86,0.91
ACmerged_contig_10026,3.77,1.01,2.76
ACmerged_contig_10026,3.77,1.07,2.7
ACmerged_contig_10026,3.77,2.56,1.21
ACmerged_contig_10026,3.77,2.02,1.75
ACmerged_contig_10026,3.77,2.87,0.9
ACmerged_contig_10026,3.77,2.48,1.29
ACmerged_contig_10026,3.77,2.9,0.87
ACmerged_contig_10026,3.77,1.78,1.99
ACmerged_contig_10026,3.77,2.87,0.9
ACmerged_contig_10026,3.77,0.992,2.778
ACmerged_contig_10026,3.77,1.1,2.67
ACmerged_contig_10026,3.77,1.92,1.85
ACmerged_contig_10026,3.77,2.72,1.05
ACmerged_contig_10026,3.77,-0.824,4.594
ACmerged_contig_10026,3.77,2.72,1.05
ACmerged_contig_10026,3.77,1.61,2.16
ACmerged_contig_10026,3.77,2.71,1.06
ACmerged_contig_10026,3.77,2.89,0.88
ACmerged_contig_10026,3.77,-0.8,4.57
ACmerged_contig_10026,3.77,-0.0252,3.7952
ACmerged_contig_10026,3.77,2.9,0.87
ACmerged_contig_10026,3.77,0.438,3.332
ACmerged_contig_10026,3.77,1.09,2.68
ACmerged_contig_10026,3.77,1.58,2.19
ACmerged_contig_10026,3.77,2.57,1.2
ACmerged_contig_10026,3.77,2.69,1.08
ACmerged_contig_10026,3.77,2.7,1.07
ACmerged_contig_10026,3.77,2.88,0.89
ACmerged_contig_10026,3.77,0.515,3.255
ACmerged_contig_10026,3.77,2.87,0.9
ACmerged_contig_10026,3.77,2.57,1.2
ACmerged_contig_10026,3.77,0.0106,3.7594
ACmerged_contig_10026,3.77,2.57,1.2
ACmerged_contig_10026,3.77,-3.87,7.64
ACmerged_contig_10026,3.77,0.822,2.948
ACmerged_contig_10026,3.77,-0.0551,3.8251
ACmerged_contig_10026,3.77,2.71,1.06
ACmerged_contig_10026,3.77,2.68,1.09
ACmerged_contig_10026,3.77,2.7,1.07
ACmerged_contig_10026,3.71,2.51,1.2
ACmerged_contig_10026,3.71,2.42,1.29
ACmerged_contig_10026,3.71,2.84,0.87
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,-0.084,3.794
ACmerged_contig_10026,3.71,-0.101,3.811
ACmerged_contig_10026,3.71,-0.335,4.045
ACmerged_contig_10026,3.71,1.26,2.45
ACmerged_contig_10026,3.71,2.81,0.9
ACmerged_contig_10026,3.71,2.76,0.95
ACmerged_contig_10026,3.71,2.51,1.2
ACmerged_contig_10026,3.71,1.55,2.16
ACmerged_contig_10026,3.71,2.49,1.22
ACmerged_contig_10026,3.71,-1.41,5.12
ACmerged_contig_10026,3.71,1.33,2.38
ACmerged_contig_10026,3.71,1.81,1.9
ACmerged_contig_10026,3.71,-1.52,5.23
ACmerged_contig_10026,3.71,2.5,1.21
ACmerged_contig_10026,3.71,2.73,0.98
ACmerged_contig_10026,3.71,2.62,1.09
ACmerged_contig_10026,3.71,2.76,0.95
ACmerged_contig_10026,3.71,0.425,3.285
ACmerged_contig_10026,3.71,1.2,2.51
ACmerged_contig_10026,3.71,-0.0515,3.7615
ACmerged_contig_10026,3.75,1.98,1.77
ACmerged_contig_10026,3.75,1.33,2.42
ACmerged_contig_10026,3.75,0.986,2.764
ACmerged_contig_10026,3.75,0.341,3.409
ACmerged_contig_10026,3.75,2.65,1.1
ACmerged_contig_10026,3.75,2.84,0.91
ACmerged_contig_10026,3.75,2.88,0.87
ACmerged_contig_10026,3.75,2.86,0.89
ACmerged_contig_10026,3.75,2.46,1.29
ACmerged_contig_10026,3.75,2.84,0.91
ACmerged_contig_10026,3.75,-0.985,4.735
ACmerged_contig_10026,3.75,2.68,1.07
ACmerged_contig_10026,3.75,1.14,2.61
ACmerged_contig_10026,3.75,2.52,1.23
ACmerged_contig_10026,3.75,2.6,1.15
ACmerged_contig_10026,3.75,2.81,0.94
ACmerged_contig_10026,3.75,2.88,0.87
ACmerged_contig_10026,3.75,1.41,2.34
ACmerged_contig_10026,3.75,1.88,1.87
ACmerged_contig_10026,3.81,-2.65,6.46
ACmerged_contig_10026,3.81,2.59,1.22
ACmerged_contig_10026,3.81,2.76,1.05
ACmerged_contig_10026,3.81,0.0213,3.7887
ACmerged_contig_10026,3.81,0.987,2.823
ACmerged_contig_10026,3.81,2.52,1.29
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,0.208,3.602
ACmerged_contig_10026,3.81,-1.12,4.93
ACmerged_contig_10026,3.81,2.66,1.15
ACmerged_contig_10026,3.81,2.6,1.21
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,2.94,0.87
ACmerged_contig_10026,3.81,2.02,1.79
ACmerged_contig_10026,3.81,1.35,2.46
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,0.975,2.835
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,1.3,2.51
ACmerged_contig_10026,3.81,1.02,2.79
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,0.0613,3.7487
ACmerged_contig_10026,3.81,-2.99,6.8
ACmerged_contig_10026,3.81,0.992,2.818
ACmerged_contig_10026,3.81,1.65,2.16
ACmerged_contig_10026,3.81,-1.17,4.98
ACmerged_contig_10026,3.81,-0.0756,3.8856
ACmerged_contig_10026,3.81,1.61,2.2
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,-7.62,11.43
ACmerged_contig_10026,3.81,-0.217,4.027
ACmerged_contig_10026,3.81,-3.83,7.64
ACmerged_contig_10026,3.81,2.66,1.15
ACmerged_contig_10026,3.81,1.2,2.61
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,-1.8,5.61
ACmerged_contig_10026,3.81,2.91,0.9
ACmerged_contig_10026,3.81,2.73,1.08
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.33,1.52,1.81
ACmerged_contig_10026,3.33,1.17,2.16
ACmerged_contig_10026,3.81,2.93,0.88
ACmerged_contig_10026,3.81,1.11,2.7
ACmerged_contig_10026,3.81,-2.72,6.53
ACmerged_contig_10026,3.81,-1.05,4.86
ACmerged_contig_10026,3.81,1.41,2.4
ACmerged_contig_10026,3.81,0.0212,3.7888
ACmerged_contig_10026,3.81,0.00665,3.80335
ACmerged_contig_10026,3.81,0.0974,3.7126
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.75,1.06
ACmerged_contig_10026,3.79,2.72,1.07
ACmerged_contig_10026,3.79,1.26,2.53
ACmerged_contig_10026,3.81,2.74,1.07
ACmerged_contig_10026,3.81,2.61,1.2
ACmerged_contig_10026,3.81,-0.747,4.557
ACmerged_contig_10026,3.81,2.72,1.09
ACmerged_contig_10026,3.81,2.76,1.05
ACmerged_contig_10026,3.72,2.81,0.91
ACmerged_contig_10026,3.72,2.51,1.21
ACmerged_contig_10026,3.72,2.49,1.23
ACmerged_contig_10026,3.67,-1.14,4.81
ACmerged_contig_10026,3.72,2.64,1.08
ACmerged_contig_10026,3.72,2.81,0.91
ACmerged_contig_10026,3.72,1.26,2.46
ACmerged_contig_10026,3.72,-1.12,4.84
ACmerged_contig_10026,3.72,-0.14,3.86
ACmerged_contig_10026,3.72,2.51,1.21
ACmerged_contig_10026,3.72,1.5,2.22
ACmerged_contig_10026,3.72,2.84,0.88
